
--- TRAIN SPLIT (4800 samples) ---
ID: scene00000 | Difficulty: 2.0 | Files: scene00000_horizontalOnly_rot_binaural.npz -> scene00000_horizontalOnly_AMBIX.npy
ID: scene00001 | Difficulty: 1.0 | Files: scene00001_horizontalOnly_rot_binaural.npz -> scene00001_horizontalOnly_AMBIX.npy
ID: scene00002 | Difficulty: 1.0 | Files: scene00002_horizontalOnly_rot_binaural.npz -> scene00002_horizontalOnly_AMBIX.npy
ID: scene00003 | Difficulty: 3.0 | Files: scene00003_horizontalOnly_rot_binaural.npz -> scene00003_horizontalOnly_AMBIX.npy
ID: scene00004 | Difficulty: 2.0 | Files: scene00004_horizontalOnly_rot_binaural.npz -> scene00004_horizontalOnly_AMBIX.npy
ID: scene00005 | Difficulty: 4.0 | Files: scene00005_horizontalOnly_rot_binaural.npz -> scene00005_horizontalOnly_AMBIX.npy
ID: scene00006 | Difficulty: 3.0 | Files: scene00006_horizontalOnly_rot_binaural.npz -> scene00006_horizontalOnly_AMBIX.npy
ID: scene00007 | Difficulty: 4.0 | Files: scene00007_horizontalOnly_rot_binaural.npz -> scene00007_horizontalOnly_AMBIX.npy
ID: scene00008 | Difficulty: 1.0 | Files: scene00008_horizontalOnly_rot_binaural.npz -> scene00008_horizontalOnly_AMBIX.npy
ID: scene00009 | Difficulty: 1.0 | Files: scene00009_horizontalOnly_rot_binaural.npz -> scene00009_horizontalOnly_AMBIX.npy
ID: scene00010 | Difficulty: 3.0 | Files: scene00010_horizontalOnly_rot_binaural.npz -> scene00010_horizontalOnly_AMBIX.npy
ID: scene00011 | Difficulty: 1.0 | Files: scene00011_horizontalOnly_rot_binaural.npz -> scene00011_horizontalOnly_AMBIX.npy
ID: scene00012 | Difficulty: 3.0 | Files: scene00012_horizontalOnly_rot_binaural.npz -> scene00012_horizontalOnly_AMBIX.npy
ID: scene00013 | Difficulty: 1.0 | Files: scene00013_horizontalOnly_rot_binaural.npz -> scene00013_horizontalOnly_AMBIX.npy
ID: scene00014 | Difficulty: 4.0 | Files: scene00014_horizontalOnly_rot_binaural.npz -> scene00014_horizontalOnly_AMBIX.npy
ID: scene00015 | Difficulty: 5.0 | Files: scene00015_horizontalOnly_rot_binaural.npz -> scene00015_horizontalOnly_AMBIX.npy
ID: scene00016 | Difficulty: 1.0 | Files: scene00016_horizontalOnly_rot_binaural.npz -> scene00016_horizontalOnly_AMBIX.npy
ID: scene00017 | Difficulty: 3.0 | Files: scene00017_horizontalOnly_rot_binaural.npz -> scene00017_horizontalOnly_AMBIX.npy
ID: scene00018 | Difficulty: 2.0 | Files: scene00018_horizontalOnly_rot_binaural.npz -> scene00018_horizontalOnly_AMBIX.npy
ID: scene00019 | Difficulty: 1.0 | Files: scene00019_horizontalOnly_rot_binaural.npz -> scene00019_horizontalOnly_AMBIX.npy
ID: scene00020 | Difficulty: 1.0 | Files: scene00020_horizontalOnly_rot_binaural.npz -> scene00020_horizontalOnly_AMBIX.npy
ID: scene00021 | Difficulty: 3.0 | Files: scene00021_horizontalOnly_rot_binaural.npz -> scene00021_horizontalOnly_AMBIX.npy
ID: scene00022 | Difficulty: 1.0 | Files: scene00022_horizontalOnly_rot_binaural.npz -> scene00022_horizontalOnly_AMBIX.npy
ID: scene00023 | Difficulty: 5.0 | Files: scene00023_horizontalOnly_rot_binaural.npz -> scene00023_horizontalOnly_AMBIX.npy
ID: scene00024 | Difficulty: 4.0 | Files: scene00024_horizontalOnly_rot_binaural.npz -> scene00024_horizontalOnly_AMBIX.npy
ID: scene00025 | Difficulty: 2.0 | Files: scene00025_horizontalOnly_rot_binaural.npz -> scene00025_horizontalOnly_AMBIX.npy
ID: scene00026 | Difficulty: 2.0 | Files: scene00026_horizontalOnly_rot_binaural.npz -> scene00026_horizontalOnly_AMBIX.npy
ID: scene00027 | Difficulty: 3.0 | Files: scene00027_horizontalOnly_rot_binaural.npz -> scene00027_horizontalOnly_AMBIX.npy
